db_id,uniprot_accession,uniprot_id
DB00683,P47870,GBRB2_HUMAN
DB00683,P48169,GBRA4_HUMAN
DB00683,Q16445,GBRA6_HUMAN
DB00685,P11388,TOP2A_HUMAN
DB00686,P05230,FGF1_HUMAN
DB00686,P08620,FGF4_HUMAN
DB00686,P09038,FGF2_HUMAN
DB00687,P08235,MCR_HUMAN
DB00688,P12268,IMDH2_HUMAN
DB00688,P20839,IMDH1_HUMAN
DB00690,P14867,GBRA1_HUMAN
DB00690,P18505,GBRB1_HUMAN
DB00690,P28472,GBRB3_HUMAN
DB00690,P31644,GBRA5_HUMAN
DB00690,P34903,GBRA3_HUMAN
DB00690,P47869,GBRA2_HUMAN
DB00690,P47870,GBRB2_HUMAN
