db_id,uniprot_accession,uniprot_id
DB00408,P14416,DRD2_HUMAN
DB00409,P14416,DRD2_HUMAN
DB00411,P11229,ACM1_HUMAN
DB00411,P08172,ACM2_HUMAN
DB00411,Q15822,ACHA2_HUMAN
DB00412,P37231,PPARG_HUMAN
DB00413,P35462,DRD3_HUMAN
DB00413,P21917,DRD4_HUMAN
DB00413,P14416,DRD2_HUMAN
DB00414,P48048,IRK1_HUMAN
DB00416,Q15822,ACHA2_HUMAN
DB00418,P14867,GBRA1_HUMAN
DB00420,P14416,DRD2_HUMAN
DB00420,P08173,ACM4_HUMAN
DB00420,P08172,ACM2_HUMAN
DB00420,P20309,ACM3_HUMAN
DB00420,P35368,ADA1B_HUMAN
DB00420,P21728,DRD1_HUMAN
DB00420,P08912,ACM5_HUMAN
DB00420,P28223,5HT2A_HUMAN
DB00420,P28335,5HT2C_HUMAN
DB00420,P35348,ADA1A_HUMAN
DB00420,P11229,ACM1_HUMAN
DB00420,P21917,DRD4_HUMAN
DB00420,P35367,HRH1_HUMAN
DB00420,P25100,ADA1D_HUMAN
DB00421,P30556,AGTR1_HUMAN
DB00421,P08235,MCR_HUMAN
DB00422,Q01959,SC6A3_HUMAN
DB00422,P23975,SC6A2_HUMAN
DB00422,P31645,SC6A4_HUMAN
DB00424,P11229,ACM1_HUMAN
DB00424,P08172,ACM2_HUMAN
DB00425,P14867,GBRA1_HUMAN
DB00427,P35367,HRH1_HUMAN
DB00429,P34995,PE2R1_HUMAN
DB00432,P04818,TYSY_HUMAN
DB00433,P14416,DRD2_HUMAN
DB00433,P28223,5HT2A_HUMAN
DB00433,P35367,HRH1_HUMAN
DB00433,P21728,DRD1_HUMAN
DB00434,P28223,5HT2A_HUMAN
DB00434,P35367,HRH1_HUMAN
DB00435,P16066,ANPRA_HUMAN
DB00436,P55017,S12A3_HUMAN
DB00436,P00915,CAH1_HUMAN
DB00436,P00918,CAH2_HUMAN
DB00436,P22748,CAH4_HUMAN
DB00436,Q12791,KCMA1_HUMAN
DB00437,P47989,XDH_HUMAN
DB00439,P04035,HMDH_HUMAN
DB00440,P00374,DYR_HUMAN
DB00441,P23921,RIR1_HUMAN
DB00441,P30085,KCY_HUMAN
DB00441,P04818,TYSY_HUMAN
DB00443,P04150,GCR_HUMAN
DB00443,P04083,ANXA1_HUMAN
DB00444,P11388,TOP2A_HUMAN
DB00445,O14646,CHD1_HUMAN
DB00445,P11388,TOP2A_HUMAN
DB00448,P20648,ATP4A_HUMAN
DB00449,P08913,ADA2A_HUMAN
DB00450,P14416,DRD2_HUMAN
DB00451,P02766,TTHY_HUMAN
DB00451,P10827,THA_HUMAN
DB00451,P05543,THBG_HUMAN
DB00451,P02768,ALBU_HUMAN
DB00451,P10828,THB1_HUMAN
DB00452,P61073,CXCR4_HUMAN
DB00454,P41145,OPRK_HUMAN
DB00454,Q8TCU5,NMD3A_HUMAN
DB00455,P35367,HRH1_HUMAN
DB00456,P02768,ALBU_HUMAN
DB00456,Q9HCU0,CD248_HUMAN
DB00457,P35348,ADA1A_HUMAN
DB00457,P35368,ADA1B_HUMAN
DB00457,P25100,ADA1D_HUMAN
DB00458,P23975,SC6A2_HUMAN
DB00458,P31645,SC6A4_HUMAN
DB00458,P30542,AA1R_HUMAN
DB00459,P10276,RARA_HUMAN
DB00459,P22932,RARG2_HUMAN
DB00459,P28702,RXRB_HUMAN
DB00459,P13631,RARG1_HUMAN
DB00459,P10826,RARB_HUMAN
DB00459,P48443,RXRG_HUMAN
DB00459,P19793,RXRA_HUMAN
DB00459,P02768,ALBU_HUMAN
DB00461,P23219,PGH1_HUMAN
DB00461,P35354,PGH2_HUMAN
DB00462,P11229,ACM1_HUMAN
DB00463,P14867,GBRA1_HUMAN
DB00464,P04070,PROC_HUMAN
DB00465,P23219,PGH1_HUMAN
DB00465,P35354,PGH2_HUMAN
DB00466,P24046,GBRR1_HUMAN
DB00466,P14867,GBRA1_HUMAN
DB00467,P11388,TOP2A_HUMAN
DB00468,P69905,HBA_HUMAN
DB00468,O15554,KCNN4_HUMAN
DB00469,P23219,PGH1_HUMAN
DB00469,P35354,PGH2_HUMAN
DB00470,P21554,CNR1_HUMAN
DB00471,Q9Y271,CLTR1_HUMAN
DB00471,P09917,LOX5_HUMAN
DB00472,P31645,SC6A4_HUMAN
DB00473,Q14524,SCN5A_HUMAN
DB00473,Q9Y5Y9,SC10A_HUMAN
DB00474,P14867,GBRA1_HUMAN
DB00475,P14867,GBRA1_HUMAN
DB00476,P31645,SC6A4_HUMAN
DB00476,Q01959,SC6A3_HUMAN
DB00476,P23975,SC6A2_HUMAN
DB00477,P14416,DRD2_HUMAN
DB00477,P28223,5HT2A_HUMAN
DB00477,P02768,ALBU_HUMAN
DB00480,P35354,PGH2_HUMAN
DB00481,P03372,ESR1_HUMAN
DB00481,Q92731,ESR2_HUMAN
DB00482,P35354,PGH2_HUMAN
DB00482,O15530,PDPK1_HUMAN
